id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,liquidity_ratio,volatility_24h_pct,price_change_percentage_1h_in_currency,price_change_percentage_24h,price_change_percentage_7d_in_currency,price_change_percentage_30d_in_currency,ath_drawdown_pct,TARGET_RISK
bitcoin,btc,Bitcoin,1,65933.0,1317911481467,36627841586.0,0.027792338181338735,3.4656393611696723,-0.40242325486427977,-1.70173,-2.784827581943078,-27.448134421895297,-47.7053,0
ethereum,eth,Ethereum,2,1923.97,232423049057,18869862676.0,0.08118757047788452,4.519820995129863,-0.5183205376044309,-2.13022,-2.8123479356606254,-38.09872498775473,-61.10093,0
tether,usdt,Tether,3,0.999691,183680795949,60579929525.0,0.32981090490167714,0.041312765644583846,0.009330892464335761,0.00652,0.0069811399633155245,0.052087226106247345,-24.4427,0
ripple,xrp,XRP,4,1.4,84995013052,2414240520.0,0.02840449613817891,6.428571428571435,-0.25079999956104515,-4.5082,0.3309220048576063,-27.154108175244613,-61.71312,0
binancecoin,bnb,BNB,5,599.99,81852332637,929702453.0,0.01135828904379621,4.030067167786122,-0.49418615034880303,-1.70346,-2.4649019598008617,-33.728883474369795,-56.20511,0
usd-coin,usdc,USDC,6,0.999835,73725154288,7360350891.0,0.09983500152807438,0.020203333550039306,-0.016796833013913867,-0.01299,-0.015342558232215463,0.013449032221606034,-14.73458,0
solana,sol,Solana,7,80.25,45594504826,3231227160.0,0.07086878500668378,4.785046728971967,-0.11206465090229656,-2.67878,-1.0095961105390576,-37.53666600655525,-72.64152,0
tron,trx,TRON,8,0.279496,26482425103,530957787.0,0.0200494397675027,0.9427684117125105,-0.07591943504692289,-0.11148,0.4137707479534127,-7.363880236677541,-35.19516,0
dogecoin,doge,Dogecoin,9,0.096986,16359830480,869129306.0,0.05312581368508166,5.415214567050907,-0.3527899269480809,-2.85804,3.7134086242107505,-22.882979677770415,-86.74289,0
figure-heloc,figr_heloc,Figure Heloc,10,1.032,15706531498,31485529.0,0.0020046137496371637,0.19379844961240328,-0.014352954562005235,0.05028,-1.2403738352110878,3.1695199999999923,-24.67196,0
bitcoin-cash,bch,Bitcoin Cash,11,540.54,10804742674,283845529.0,0.026270457109823807,4.360454360454349,-0.7375280862605607,-2.67644,4.744246427621963,-5.090369905757202,-85.72193,0
whitebit,wbt,WhiteBIT Coin,12,49.84,10646058194,31306604.0,0.002940675640646418,3.852327447833069,-0.22552500856545107,-2.48169,-2.9550224795069675,-9.396829392184324,-22.2352,0
cardano,ada,Cardano,13,0.270519,9951790703,384084768.0,0.03859453835621929,6.2605584080970305,-0.2969781079711872,-3.5056,2.1467808955472423,-24.28784380538125,-91.23659,0
usds,usds,USDS,14,0.999833,9894670672,2298872.0,0.0002323343622244409,0.24574103875346498,0.01946665769973575,0.01062,0.005658284074943576,0.026934966944033936,-5.43294,0
leo-token,leo,LEO Token,15,8.67,7992620135,1545983.0,0.00019342630750460407,2.652825836216824,0.2852635672881127,2.40338,2.5306554756406485,-0.3896969672965028,-14.41282,0
hyperliquid,hype,Hyperliquid,16,28.13,6678509279,195673233.0,0.029298938554338422,5.865623889086392,-0.37587659632433423,-2.95226,-9.231544065837637,29.34296965970431,-52.55986,0
ethena-usde,usde,Ethena USDe,17,0.999215,6225281537,111221060.0,0.017866028923986317,0.12309663085522779,-0.03217827221878404,0.00879,0.09707635085846429,-0.05570067876310013,-3.36374,0
monero,xmr,Monero,18,331.17,6086528287,75994796.0,0.012485737750092214,5.996920010870554,0.36049190060132835,-1.0423,-2.528538233133779,-39.013016628795825,-58.4858,0
canton-network,cc,Canton,19,0.160171,6052311658,10166506.0,0.0016797723868964714,7.246005831267835,-0.013581193668178209,-4.16406,-4.8786905226680295,30.264508355285212,-17.47879,0
chainlink,link,Chainlink,20,8.42,5960576375,244182633.0,0.040966278701529094,5.5819477434679206,-0.7092340348260694,-3.06341,-1.4932738521178155,-32.833616861390716,-84.01282,0
stellar,xlm,Stellar,21,0.158045,5189492981,82522698.0,0.015901880646555594,6.830333132968458,-0.31113796201921917,-4.19865,-1.4601134849629873,-24.994365318632646,-81.95245,0
usd1-wlfi,usd1,USD1,22,0.999406,5121732841,1871450389.0,0.3653939881476922,0.2415434768252258,-0.010075440808574209,-0.0125,-0.0150068958181309,0.08608262599497159,-2.49603,0
rain,rain,Rain,23,0.00962057,4597723296,33374030.0,0.007258816560151688,4.499837327725903,0.25938946478594355,-2.10418,-5.786172300505078,8.699120948704634,-11.76825,0
zcash,zec,Zcash,24,256.79,4258206715,330469464.0,0.07760766118654716,11.787842205693371,-0.6323580986627635,-8.16915,7.591315311919244,-29.42748970639248,-91.95493,0
dai,dai,Dai,25,0.99965,4181056328,73587381.0,0.017600188858302317,0.1999699894963099,-0.03797127221224397,-0.09779,-0.02836140309902645,-0.009657940052276298,-17.98694,0
hedera-hashgraph,hbar,Hedera,26,0.09686,4164225570,83275797.0,0.01999790731797461,6.149081148048733,0.28340225877165176,-3.27484,2.55948023311503,-8.999918793528021,-83.03176,0
paypal-usd,pyusd,PayPal USD,27,0.999358,4015972119,245304512.0,0.061082224858942054,0.23725231598685365,-0.03869978547480828,-0.01472,0.03723784880802773,-0.03140118506150973,-2.07066,0
litecoin,ltc,Litecoin,28,51.84,3982340092,269659829.0,0.06771391261678311,5.787037037037036,-0.7404644996753561,-3.38152,-2.1717588076966092,-24.954028380260795,-87.33111,0
avalanche-2,avax,Avalanche,29,8.72,3765639757,217856348.0,0.05785374121223991,5.504587155963307,-0.3713868061800006,-2.91702,-1.2361592572840179,-29.302445716996328,-93.99661,0
shiba-inu,shib,Shiba Inu,30,6.18e-06,3637470988,117108365.0,0.032194996299995234,6.148867313915853,0.115426763057431,-3.66087,1.3396607941450607,-21.403208328952633,-92.83082,0
